player_name,cluster
Aaron Gordon,Infiltrador
Aaron Holiday,Criador de Arremessos
Abdel Nader,Big Espaçador
Al Horford,Arremessador Parado
Alec Burks,Criador de Arremessos
Alex Caruso,Arremessador Versátil
Alex Len,Big Interior
Alfonzo McKinnie,Big Espaçador
Allen Crabbe,Arremessador Parado
Allonzo Trier,Arremessador Versátil
Andre Drummond,Big Interior
Andrew Wiggins,Infiltrador
Anfernee Simons,Criador de Arremessos
Anthony Davis,Big Espaçador
Anthony Tolliver,Arremessador Parado
Anzejs Pasecniks,Big Interior
Aron Baynes,Big Espaçador
Austin Rivers,Big Espaçador
Avery Bradley,Arremessador Versátil
Bam Adebayo,Big Interior
Ben McLemore,Arremessador Parado
Ben Simmons,Big Interior
Bismack Biyombo,Big Interior
Blake Griffin,Big Espaçador
Boban Marjanovic,Big Interior
Bobby Portis,Big Espaçador
Bogdan Bogdanovic,Arremessador Versátil
Bojan Bogdanovic,Big Espaçador
Brad Wanamaker,Infiltrador
Bradley Beal,Criador de Arremessos
Brandon Clarke,Big Interior
Brandon Goodwin,Big Espaçador
Brandon Ingram,Arremessador Versátil
Brandon Knight,Arremessador Parado
Brook Lopez,Arremessador Parado
Bruce Brown,Infiltrador
Bruno Fernando,Big Interior
Bryn Forbes,Arremessador Versátil
Buddy Hield,Arremessador Versátil
Cam Reddish,Arremessador Versátil
Cameron Johnson,Arremessador Parado
Caris LeVert,Infiltrador
Carmelo Anthony,Arremessador Versátil
Carsen Edwards,Arremessador Versátil
Cedi Osman,Big Espaçador
Chandler Hutchison,Infiltrador
Cheick Diallo,Big Interior
Chris Boucher,Big Espaçador
Chris Clemons,Arremessador Parado
Chris Paul,Criador de Arremessos
Christian Wood,Big Espaçador
CJ McCollum,Criador de Arremessos
Clint Capela,Big Interior
Coby White,Arremessador Versátil
Cody Martin,Big Espaçador
Cody Zeller,Big Interior
Collin Sexton,Infiltrador
Cory Joseph,Arremessador Versátil
D'Angelo Russell,Arremessador Versátil
D.J. Augustin,Criador de Arremessos
D.J. Wilson,Arremessador Parado
Damian Jones,Big Interior
Damian Lillard,Criador de Arremessos
Damion Lee,Arremessador Versátil
Damyean Dotson,Arremessador Versátil
Daniel Gafford,Big Interior
Daniel Theis,Big Espaçador
Danilo Gallinari,Arremessador Parado
Danny Green,Arremessador Parado
Dante Exum,Infiltrador
Danuel House Jr.,Arremessador Parado
Dario Saric,Big Espaçador
Darius Bazley,Big Espaçador
Darius Garland,Infiltrador
Davis Bertans,Arremessador Parado
De'Aaron Fox,Infiltrador
De'Andre Hunter,Arremessador Versátil
De'Anthony Melton,Infiltrador
DeAndre' Bembry,Infiltrador
Deandre Ayton,Big Interior
DeAndre Jordan,Big Interior
Dejounte Murray,Criador de Arremessos
Delon Wright,Infiltrador
DeMar DeRozan,Criador de Arremessos
Dennis Schroder,Criador de Arremessos
Dennis Smith Jr.,Infiltrador
Denzel Valentine,Arremessador Versátil
Deonte Burton,Big Espaçador
Derrick Favors,Big Interior
Derrick Jones Jr.,Big Espaçador
Derrick Rose,Infiltrador
Derrick White,Criador de Arremessos
Devin Booker,Criador de Arremessos
Devonte' Graham,Arremessador Versátil
Dewayne Dedmon,Big Espaçador
Dillon Brooks,Criador de Arremessos
Domantas Sabonis,Big Interior
Donovan Mitchell,Criador de Arremessos
Donte DiVincenzo,Big Espaçador
Dorian Finney-Smith,Arremessador Parado
Doug McDermott,Arremessador Parado
Draymond Green,Big Espaçador
Duncan Robinson,Arremessador Parado
Dwayne Bacon,Infiltrador
Dwight Howard,Big Interior
Dwight Powell,Big Interior
Dzanan Musa,Big Espaçador
E'Twaun Moore,Big Espaçador
Edmond Sumner,Infiltrador
Elfrid Payton,Infiltrador
Elie Okobo,Infiltrador
Emmanuel Mudiay,Infiltrador
Enes Kanter,Big Interior
Eric Bledsoe,Infiltrador
Eric Gordon,Arremessador Parado
Eric Paschall,Infiltrador
Ersan Ilyasova,Big Espaçador
Evan Fournier,Arremessador Versátil
Frank Jackson,Arremessador Versátil
Frank Kaminsky,Big Espaçador
Frank Ntilikina,Arremessador Versátil
Fred VanVleet,Criador de Arremessos
Furkan Korkmaz,Arremessador Parado
Garrett Temple,Arremessador Versátil
Gary Clark,Arremessador Parado
Gary Harris,Infiltrador
Gary Payton II,Big Espaçador
Gary Trent Jr.,Arremessador Versátil
George Hill,Big Espaçador
Georges Niang,Arremessador Parado
Giannis Antetokounmpo,Infiltrador
Glenn Robinson III,Arremessador Versátil
Goga Bitadze,Arremessador Parado
Goran Dragic,Arremessador Versátil
Gordon Hayward,Criador de Arremessos
Gorgui Dieng,Big Espaçador
Grant Williams,Big Espaçador
Grayson Allen,Big Espaçador
Hamidou Diallo,Infiltrador
Harrison Barnes,Big Espaçador
Harry Giles III,Big Interior
Hassan Whiteside,Big Interior
Ian Mahinmi,Big Interior
Isaac Bonga,Infiltrador
Isaiah Thomas,Criador de Arremessos
Ish Smith,Criador de Arremessos
Ivica Zubac,Big Interior
J.J. Barea,Criador de Arremessos
Ja Morant,Infiltrador
Jabari Parker,Big Espaçador
Jacob Evans,Arremessador Versátil
Jae Crowder,Arremessador Versátil
Jahlil Okafor,Big Interior
Jake Layman,Big Espaçador
Jakob Poeltl,Big Interior
Jalen Brunson,Criador de Arremessos
Jamal Murray,Criador de Arremessos
James Ennis III,Big Espaçador
James Harden,Infiltrador
James Johnson,Big Espaçador
JaMychal Green,Arremessador Parado
Jaren Jackson Jr.,Big Espaçador
Jarrett Allen,Big Interior
Jarrett Culver,Infiltrador
JaVale McGee,Big Interior
Jaxson Hayes,Big Interior
Jaylen Brown,Infiltrador
Jayson Tatum,Infiltrador
Jeff Green,Big Espaçador
Jeff Teague,Infiltrador
Jerami Grant,Big Espaçador
Jeremy Lamb,Criador de Arremessos
Jerome Robinson,Arremessador Versátil
